Titulo,Autor,Estilo,Entregue a,Dedicatória
Assassinato na casa do pastor,Agatha Christie,Policial ,,
A testemunha ocular do crime,Agatha Christie,Policial ,,
A mão misteriosa,Agatha Christie,Policial ,,
A maldição do espelhos,Agatha Christie,Policial ,,
Assassinato no expresso oriente2,Agatha Christie,Policial ,,
Assassinato no Beco,Agatha Christie,Policial ,,
A casa torta,Agatha Christie,Policial ,,
A morte do Almirante,Agatha Christie,Policial ,,
A casa do penhasco,Agatha Christie,Policial ,,
Cai o pano Último caso de Poirot,Agatha Christie,Policial ,,
Cartas na mesa,Agatha Christie,Policial ,,
Cem gramas de centeio,Agatha Christie,Policial ,,
Cipreste triste,Agatha Christie,Policial ,,
É fácil matar,Agatha Christie,Policial ,,
Encontro com a morte,Agatha Christie,Policial ,,
Hora zero,Agatha Christie,Policial ,,
M ou N,Agatha Christie,Policial ,,
Morte na Mesopotâmia,Agatha Christie,Policial ,,
Morte da praia,Agatha Christie,Policial ,,
Morte na rua Hickory,Agatha Christie,Policial ,,
Nêmesis,Agatha Christie,Policial ,,
O mistério do trem azul,Agatha Christie,Policial ,,
O natal de Poirot,Agatha Christie,Policial ,,
O assassinato de Roger Ackroyd,Agatha Christie,Policial ,,
O homem do terno marrom,Agatha Christie,Policial ,,
Os crimes ABC,Agatha Christie,Policial ,,
O detetive Parker Pyne 2,Agatha Christie,Policial ,,
Os trabalhos de Hércules,Agatha Christie,Policial ,,
O mistério dos sete relógios,Agatha Christie,Policial ,,
O veredicto,Agatha Christie,Policial ,,
O mistério de Sittaford,Agatha Christie,Policial ,,
Os relógios,Agatha Christie,Policial ,,
Os três ratos cegos & outras histórias,Agatha Christie,Policial ,,
O cadáver atrás do biombo,Agatha Christie,Policial ,,
O caso do hotel Bertram,Agatha Christie,Policial ,,
Os primeiros casos de Poirot,Agatha Christie,Policial ,,
O clube das terçasfeiras & outras histórias,Agatha Christie,Policial ,,
Poirot perde uma cliente,Agatha Christie,Policial ,,
Punição para a inocência,Agatha Christie,Policial ,,
Passageiro para Frankfurt,Agatha Christie,Policial ,,
Poirot e o mistério da arca espanhola & outras histórias,Agatha Christie,Policial ,,
Poirot investiga,Agatha Christie,Policial ,,
Portal do destino,Agatha Christie,Policial ,,
Retorno ao assassinato,Agatha Christie,Policial ,,
Seguindo a correnteza,Agatha Christie,Policial ,,
Sócios no crime,Agatha Christie,Policial ,,
Treze à mesa 2,Agatha Christie,Policial ,,
Tragédia em três atos,Agatha Christie,Policial ,,
Testemunha de acusação,Agatha Christie,Policial ,,
Um brinde de cianureto,Agatha Christie,Policial ,,
Um destino ignorado,Agatha Christie,Policial ,,
Um crime adormecido,Agatha Christie,Policial ,,
A muralha da peste  ,André Brink,,,
A Velha Senhora  ,Georges Simenon,,,
Morte na Atlântida ,Clive Cussler,,,
Os Arquivos de Anderson ,Jack Anderson  & George Clifford,,,
Fui Espião ,Francesco Scalzotto,,,
Cícero da República Mestres pensadores,,,,
BelAmi  ,Guy de Maupassant,,,
Os pensadores  ,Maquiavel,,,
História da Ordem Internacional  ,Carlos Roberto Pellegrino,,,
Star Wars  Caminho de destruição Darth Bane,,,,
Star Wars  Dinastia do mal Darth Bane,,,,
Star Wars  Regra de dois  Darth Bane,,,,
Star Wars  Caminho da destruição Darth Bane,,,,
Star Wars  James Luceno/Darth Plagueis,,,,
Assassinato de reputações   2Um Crime de Estado  ,Romeu Tuma Jr.,,,
O Escaravelho do diabo  ,Lúcia Machado de Almeida,,,
Fundação  ,Isaac Asimov,,,
As Catilinárias  ,Cícero,,,
França  grandes civilizações do passado,,,,
Física divertida  ,Carlos Fiolhais,,,
História da Ordem Internacional   ,Carlos Roberto Pellegrino,,,
Mengele  o último nazista  ,Gerald Astor ,,,
O livro das mil e uma noites Vol. 1,2,3,4  ,Mamede Mustafá Jarouche,,,
A Farsa   ,Christopher Reich,,,
Os crimes do mosaico   um caso de Dante Alighieri,Giulio Leoni,,,
A chave de Roseta  ,William Dietrich,,,
A sombra do vento  ,Carlos Ruiz Zafón ,,,
O mundo de Sofia,Jostein Gaarder,,,
Cinco semanas em um balão  ,Júlio Verne,,,
A esfinge dos gelos  ,Júlio Verne,,,
Paris no século XX  ,Júlio Verne,,,
Na companhia de estranhos  ,Robert Wilson,,,
1808,Laurentino Gomes,,,
1822,Laurentino Gomes,,,
1889,Laurentino Gomes ,,,
O livro do Cinema ,,,,
O mínimo que você precisa saber para não ser um idiota  ,Olavo de Carvalho ,,,*
A lei da atração  ,Michael J. Losier,Conquistar:,,
A linguagem dos sentimentos  ,David Viscott.,Conquistar:,,
Como conquistar as pessoas  . 03,Allan & Barbara Pease,Conquistar:,,
